kev,R,R_sigma,R_model,R_tilt
7.4600,1.086285,0.011440,1.004081,1.120506
7.4800,1.084076,0.011312,1.002067,1.118080
7.5000,1.081837,0.011178,1.000070,1.115627
7.5200,1.079569,0.011040,0.998092,1.113145
7.5400,1.077271,0.010898,0.996130,1.110633
7.5600,1.074941,0.010753,0.994185,1.108091
7.5800,1.072579,0.010604,0.992256,1.105517
7.6000,1.070184,0.010453,0.990343,1.102911
7.6200,1.067755,0.010301,0.988446,1.100273
7.6400,1.065292,0.010147,0.986563,1.097601
7.6600,1.062795,0.009993,0.984696,1.094895
7.6800,1.060263,0.009839,0.982843,1.092155
7.7000,1.057696,0.009686,0.981004,1.089381
7.7200,1.055093,0.009534,0.979178,1.086571
7.7400,1.052454,0.009384,0.977366,1.083727
7.7600,1.049780,0.009237,0.975567,1.080848
7.7800,1.047070,0.009094,0.973781,1.077933
7.8000,1.044325,0.008954,0.972007,1.074984
7.8200,1.041544,0.008818,0.970246,1.072000
7.8400,1.038727,0.008688,0.968496,1.068981
7.8600,1.035876,0.008563,0.966758,1.065928
7.8800,1.032990,0.008444,0.965031,1.062841
7.9000,1.030070,0.008331,0.963314,1.059720
7.9200,1.027116,0.008224,0.961609,1.056566
7.9400,1.024129,0.008125,0.959914,1.053380
7.9600,1.021110,0.008033,0.958230,1.050163
7.9800,1.018059,0.007948,0.956555,1.046914
8.0000,1.014978,0.007870,0.954890,1.043636
8.0200,1.012033,0.007801,0.953391,1.040499
8.0400,1.009054,0.007739,0.951898,1.037330
8.0600,1.006044,0.007684,0.950411,1.034130
8.0800,1.003004,0.007636,0.948930,1.030899
8.1000,0.999933,0.007595,0.947454,1.027639
8.1200,0.996834,0.007560,0.945983,1.024352
8.1400,0.993707,0.007531,0.944518,1.021038
8.1600,0.990554,0.007507,0.943057,1.017698
8.1800,0.987377,0.007489,0.941601,1.014335
8.2000,0.984176,0.007475,0.940150,1.010949
8.2200,0.980953,0.007466,0.938703,1.007542
8.2400,0.977710,0.007459,0.937261,1.004115
8.2600,0.974447,0.007456,0.935823,1.000670
8.2800,0.971168,0.007456,0.934389,0.997209
8.3000,0.967872,0.007457,0.932959,0.993732
8.3200,0.964561,0.007460,0.931532,0.990242
8.3400,0.961238,0.007464,0.930110,0.986741
8.3600,0.957904,0.007469,0.928691,0.983229
8.3800,0.954560,0.007474,0.927276,0.979709
8.4000,0.951208,0.007478,0.925864,0.976181
8.4200,0.947850,0.007482,0.924455,0.972649
8.4400,0.944488,0.007485,0.923049,0.969114
8.4600,0.941122,0.007486,0.921647,0.965576
8.4800,0.937755,0.007486,0.920247,0.962039
8.5000,0.934389,0.007485,0.918851,0.958503
8.5200,0.931024,0.007481,0.917457,0.954971
8.5400,0.927664,0.007475,0.916066,0.951444
8.5600,0.924309,0.007467,0.914678,0.947924
8.5800,0.920961,0.007457,0.913292,0.944412
8.6000,0.917621,0.007444,0.911909,0.940911
8.6200,0.914293,0.007429,0.910528,0.937421
8.6400,0.910976,0.007411,0.909150,0.933945
8.6600,0.907673,0.007391,0.907774,0.930484
8.6800,0.904385,0.007369,0.906400,0.927039
8.7000,0.901113,0.007345,0.905029,0.923613
8.7200,0.897860,0.007319,0.903659,0.920207
8.7400,0.894627,0.007291,0.902292,0.916822
8.7600,0.891415,0.007261,0.900927,0.913460
8.7800,0.888226,0.007230,0.899563,0.910123
8.8000,0.885062,0.007198,0.898202,0.906811
8.8200,0.881922,0.007165,0.896843,0.903527
8.8400,0.878810,0.007131,0.895485,0.900271
8.8600,0.875726,0.007097,0.894130,0.897045
8.8800,0.872672,0.007063,0.892776,0.893851
8.9000,0.869648,0.007029,0.891424,0.890689
8.9200,0.866656,0.006996,0.890074,0.887561
8.9400,0.863698,0.006964,0.888725,0.884467
8.9600,0.860774,0.006933,0.887379,0.881410
8.9800,0.857885,0.006903,0.886034,0.878390
9.0000,0.855033,0.006875,0.884690,0.875409
9.0200,0.852219,0.006849,0.883349,0.872466
9.0400,0.849443,0.006826,0.882009,0.869564
9.0600,0.846706,0.006805,0.880670,0.866704
9.0800,0.844009,0.006787,0.879334,0.863885
9.1000,0.841354,0.006772,0.877999,0.861109
9.1200,0.838741,0.006760,0.876665,0.858377
9.1400,0.836170,0.006752,0.875333,0.855689
9.1600,0.833643,0.006746,0.874003,0.853047
9.1800,0.831159,0.006745,0.872674,0.850450
9.2000,0.828721,0.006747,0.871347,0.847900
9.2200,0.826327,0.006752,0.870022,0.845396
9.2400,0.823980,0.006761,0.868698,0.842941
9.2600,0.821678,0.006773,0.867376,0.840533
9.2800,0.819423,0.006789,0.866055,0.838173
9.3000,0.817215,0.006807,0.864736,0.835863
9.3200,0.815054,0.006829,0.863419,0.833601
9.3400,0.812941,0.006853,0.862103,0.831389
9.3600,0.810876,0.006880,0.860789,0.829226
9.3800,0.808859,0.006909,0.859477,0.827113
9.4000,0.806890,0.006941,0.858166,0.825051
9.4200,0.804970,0.006973,0.856857,0.823038
9.4400,0.803098,0.007007,0.855550,0.821075
9.4600,0.801274,0.007042,0.854244,0.819163
9.4800,0.799499,0.007078,0.852941,0.817300
9.5000,0.797772,0.007114,0.851639,0.815488
9.5200,0.796093,0.007150,0.850338,0.813725
9.5400,0.794463,0.007185,0.849040,0.812012
9.5600,0.792881,0.007220,0.847743,0.810349
9.5800,0.791346,0.007254,0.846448,0.808736
9.6000,0.789859,0.007286,0.845155,0.807171
9.6200,0.788419,0.007316,0.843864,0.805655
9.6400,0.787026,0.007344,0.842575,0.804187
9.6600,0.785680,0.007369,0.841288,0.802768
9.6800,0.784379,0.007392,0.840002,0.801396
9.7000,0.783124,0.007411,0.838719,0.800071
9.7200,0.781915,0.007428,0.837438,0.798792
9.7400,0.780750,0.007440,0.836158,0.797560
9.7600,0.779629,0.007449,0.834881,0.796374
9.7800,0.778552,0.007453,0.833606,0.795232
9.8000,0.777518,0.007453,0.832333,0.794135
9.8200,0.776526,0.007448,0.831061,0.793081
9.8400,0.775576,0.007439,0.829793,0.792070
9.8600,0.774667,0.007425,0.828526,0.791102
9.8800,0.773798,0.007406,0.827261,0.790175
9.9000,0.772969,0.007382,0.825999,0.789288
9.9200,0.772178,0.007352,0.824739,0.788442
9.9400,0.771425,0.007318,0.823481,0.787635
9.9600,0.770709,0.007278,0.822226,0.786866
9.9800,0.770030,0.007233,0.820973,0.786134
10.0000,0.769386,0.007183,0.819722,0.785438
10.0200,0.768882,0.007128,0.818587,0.784887
10.0400,0.768411,0.007069,0.817452,0.784368
10.0600,0.767970,0.007005,0.816318,0.783882
10.0800,0.767560,0.006936,0.815185,0.783427
10.1000,0.767180,0.006863,0.814053,0.783002
10.1200,0.766827,0.006786,0.812922,0.782607
10.1400,0.766503,0.006706,0.811791,0.782240
10.1600,0.766204,0.006622,0.810662,0.781900
10.1800,0.765931,0.006535,0.809534,0.781586
10.2000,0.765682,0.006446,0.808407,0.781297
10.2200,0.765457,0.006355,0.807281,0.781033
10.2400,0.765254,0.006263,0.806156,0.780791
10.2600,0.765072,0.006171,0.805033,0.780571
10.2800,0.764910,0.006080,0.803911,0.780372
10.3000,0.764768,0.005990,0.802790,0.780193
10.3200,0.764643,0.005903,0.801670,0.780032
10.3400,0.764535,0.005819,0.800552,0.779889
10.3600,0.764443,0.005740,0.799436,0.779763
10.3800,0.764366,0.005667,0.798321,0.779651
10.4000,0.764302,0.005601,0.797208,0.779554
10.4200,0.764251,0.005544,0.796096,0.779469
10.4400,0.764211,0.005496,0.794986,0.779397
10.4600,0.764181,0.005460,0.793877,0.779335
10.4800,0.764161,0.005436,0.792771,0.779283
10.5000,0.764149,0.005426,0.791666,0.779239
10.5200,0.764144,0.005431,0.790562,0.779203
10.5400,0.764145,0.005451,0.789461,0.779173
10.5600,0.764150,0.005487,0.788362,0.779148
10.5800,0.764160,0.005540,0.787264,0.779127
10.6000,0.764172,0.005610,0.786169,0.779109
10.6200,0.764186,0.005698,0.785075,0.779094
10.6400,0.764201,0.005802,0.783984,0.779079
10.6600,0.764215,0.005923,0.782895,0.779064
10.6800,0.764228,0.006061,0.781807,0.779048
10.7000,0.764239,0.006213,0.780722,0.779029
10.7200,0.764246,0.006381,0.779639,0.779008
10.7400,0.764249,0.006561,0.778559,0.778982
10.7600,0.764247,0.006755,0.777480,0.778952
10.7800,0.764239,0.006960,0.776404,0.778915
10.8000,0.764224,0.007176,0.775330,0.778871
10.8200,0.764201,0.007401,0.774258,0.778820
10.8400,0.764169,0.007634,0.773189,0.778760
10.8600,0.764128,0.007875,0.772122,0.778690
10.8800,0.764076,0.008123,0.771058,0.778610
10.9000,0.764013,0.008375,0.769996,0.778518
10.9200,0.763938,0.008632,0.768937,0.778415
10.9400,0.763851,0.008893,0.767880,0.778299
10.9600,0.763750,0.009156,0.766825,0.778170
10.9800,0.763636,0.009421,0.765774,0.778027
11.0000,0.763506,0.009687,0.764724,0.777869
11.0200,0.763362,0.009953,0.763678,0.777695
11.0400,0.763201,0.010218,0.762634,0.777506
11.0600,0.763024,0.010482,0.761593,0.777300
11.0800,0.762830,0.010744,0.760554,0.777077
11.1000,0.762619,0.011004,0.759518,0.776836
11.1200,0.762390,0.011260,0.758485,0.776578
11.1400,0.762142,0.011511,0.757455,0.776300
11.1600,0.761876,0.011759,0.756427,0.776004
11.1800,0.761591,0.012001,0.755402,0.775689
11.2000,0.761286,0.012237,0.754380,0.775354
11.2200,0.760962,0.012467,0.753361,0.774999
11.2400,0.760617,0.012690,0.752345,0.774624
11.2600,0.760252,0.012905,0.751331,0.774229
11.2800,0.759867,0.013113,0.750321,0.773812
11.3000,0.759461,0.013313,0.749313,0.773375
11.3200,0.759034,0.013504,0.748308,0.772917
11.3400,0.758586,0.013686,0.747307,0.772438
11.3600,0.758117,0.013858,0.746308,0.771937
11.3800,0.757627,0.014020,0.745312,0.771415
11.4000,0.757116,0.014172,0.744319,0.770872
11.4200,0.756584,0.014314,0.743330,0.770308
11.4400,0.756031,0.014444,0.742343,0.769722
11.4600,0.755456,0.014563,0.741359,0.769115
11.4800,0.754861,0.014671,0.740379,0.768487
11.5000,0.754245,0.014767,0.739401,0.767838
11.5200,0.753608,0.014851,0.738426,0.767168
11.5400,0.752951,0.014922,0.737455,0.766477
11.5600,0.752273,0.014981,0.736487,0.765766
11.5800,0.751576,0.015028,0.735521,0.765034
11.6000,0.750858,0.015061,0.734559,0.764283
11.6200,0.750121,0.015082,0.733600,0.763512
11.6400,0.749365,0.015090,0.732645,0.762721
11.6600,0.748590,0.015084,0.731692,0.761911
11.6800,0.747796,0.015066,0.730742,0.761082
11.7000,0.746983,0.015034,0.729796,0.760235
11.7200,0.746153,0.014988,0.728853,0.759370
11.7400,0.745306,0.014930,0.727913,0.758487
11.7600,0.744441,0.014858,0.726976,0.757587
11.7800,0.743559,0.014773,0.726043,0.756671
11.8000,0.742662,0.014674,0.725112,0.755738
11.8200,0.741748,0.014563,0.724185,0.754789
11.8400,0.740819,0.014438,0.723261,0.753824
11.8600,0.739876,0.014301,0.722340,0.752845
11.8800,0.738918,0.014150,0.721423,0.751851
11.9000,0.737946,0.013988,0.720509,0.750844
11.9200,0.736962,0.013812,0.719598,0.749823
11.9400,0.735964,0.013625,0.718690,0.748789
11.9600,0.734954,0.013426,0.717785,0.747743
11.9800,0.733933,0.013215,0.716884,0.746686
12.0000,0.732900,0.012992,0.715986,0.745617
12.0200,0.731857,0.012759,0.715091,0.744538
12.0400,0.730804,0.012515,0.714200,0.743449
12.0600,0.729741,0.012261,0.713311,0.742350
12.0800,0.728670,0.011997,0.712426,0.741242
12.1000,0.727590,0.011723,0.711545,0.740127
12.1200,0.726503,0.011441,0.710666,0.739003
12.1400,0.725408,0.011150,0.709791,0.737873
12.1600,0.724307,0.010851,0.708919,0.736736
12.1800,0.723200,0.010546,0.708050,0.735593
12.2000,0.722088,0.010234,0.707185,0.734444
12.2200,0.720971,0.009916,0.706323,0.733291
12.2400,0.719849,0.009594,0.705464,0.732134
12.2600,0.718724,0.009268,0.704608,0.730973
12.2800,0.717596,0.008939,0.703756,0.729810
12.3000,0.716465,0.008609,0.702907,0.728643
12.3200,0.715332,0.008278,0.702061,0.727475
12.3400,0.714198,0.007949,0.701218,0.726306
12.3600,0.713062,0.007623,0.700379,0.725135
12.3800,0.711927,0.007303,0.699543,0.723965
12.4000,0.710791,0.006989,0.698710,0.722794
12.4200,0.709656,0.006686,0.697880,0.721625
12.4400,0.708522,0.006395,0.697054,0.720456
12.4600,0.707390,0.006121,0.696231,0.719290
12.4800,0.706259,0.005866,0.695411,0.718126
12.5000,0.705132,0.005636,0.694594,0.716964
12.5200,0.704007,0.005433,0.693781,0.715806
12.5400,0.702886,0.005264,0.692971,0.714651
12.5600,0.701769,0.005132,0.692164,0.713501
12.5800,0.700656,0.005041,0.691360,0.712355
12.6000,0.699548,0.004993,0.690559,0.711214
12.6200,0.698445,0.004992,0.689762,0.710078
12.6400,0.697348,0.005037,0.688968,0.708948
12.6600,0.696256,0.005127,0.688177,0.707825
12.6800,0.695171,0.005260,0.687389,0.706708
12.7000,0.694093,0.005434,0.686605,0.705598
12.7200,0.693022,0.005643,0.685823,0.704495
12.7400,0.691958,0.005884,0.685045,0.703399
12.7600,0.690901,0.006153,0.684270,0.702312
12.7800,0.689853,0.006445,0.683498,0.701233
12.8000,0.688813,0.006758,0.682729,0.700162
12.8200,0.687781,0.007086,0.681964,0.699100
12.8400,0.686758,0.007429,0.681201,0.698047
12.8600,0.685744,0.007782,0.680442,0.697004
12.8800,0.684740,0.008144,0.679686,0.695970
12.9000,0.683745,0.008512,0.678933,0.694946
12.9200,0.682759,0.008885,0.678183,0.693931
12.9400,0.681784,0.009261,0.677436,0.692927
12.9600,0.680818,0.009638,0.676692,0.691934
12.9800,0.679863,0.010017,0.675952,0.690950
13.0000,0.678918,0.010394,0.675214,0.689978
13.0200,0.677984,0.010770,0.674479,0.689016
13.0400,0.677061,0.011143,0.673748,0.688065
13.0600,0.676148,0.011512,0.673020,0.687126
13.0800,0.675246,0.011877,0.672294,0.686197
13.1000,0.674355,0.012238,0.671572,0.685280
13.1200,0.673475,0.012592,0.670853,0.684374
13.1400,0.672607,0.012941,0.670137,0.683479
13.1600,0.671749,0.013283,0.669423,0.682596
13.1800,0.670903,0.013617,0.668713,0.681725
13.2000,0.670068,0.013944,0.668006,0.680865
13.2200,0.669244,0.014262,0.667302,0.680016
13.2400,0.668432,0.014572,0.666601,0.679180
13.2600,0.667631,0.014872,0.665902,0.678354
13.2800,0.666841,0.015163,0.665207,0.677541
13.3000,0.666063,0.015444,0.664515,0.676739
13.3200,0.665295,0.015715,0.663826,0.675948
13.3400,0.664539,0.015975,0.663139,0.675169
13.3600,0.663794,0.016225,0.662456,0.674401
13.3800,0.663060,0.016463,0.661775,0.673644
13.4000,0.662337,0.016689,0.661097,0.672899
13.4200,0.661625,0.016904,0.660423,0.672165
13.4400,0.660924,0.017107,0.659751,0.671443
13.4600,0.660234,0.017297,0.659082,0.670731
13.4800,0.659554,0.017476,0.658416,0.670030
13.5000,0.658885,0.017641,0.657753,0.669340
13.5200,0.658227,0.017793,0.657092,0.668660
13.5400,0.657578,0.017933,0.656435,0.667991
13.5600,0.656940,0.018059,0.655780,0.667333
13.5800,0.656312,0.018171,0.655128,0.666685
13.6000,0.655694,0.018270,0.654479,0.666047
13.6200,0.655085,0.018356,0.653833,0.665418
13.6400,0.654486,0.018427,0.653189,0.664800
13.6600,0.653897,0.018485,0.652549,0.664192
13.6800,0.653317,0.018529,0.651911,0.663592
13.7000,0.652745,0.018558,0.651275,0.663003
13.7200,0.652183,0.018573,0.650643,0.662422
13.7400,0.651630,0.018574,0.650013,0.661850
13.7600,0.651085,0.018561,0.649386,0.661287
13.7800,0.650548,0.018533,0.648762,0.660733
13.8000,0.650020,0.018491,0.648141,0.660187
13.8200,0.649500,0.018435,0.647522,0.659649
13.8400,0.648987,0.018364,0.646906,0.659119
13.8600,0.648482,0.018279,0.646293,0.658597
13.8800,0.647984,0.018180,0.645682,0.658082
13.9000,0.647494,0.018066,0.645074,0.657575
13.9200,0.647011,0.017938,0.644468,0.657075
13.9400,0.646534,0.017796,0.643866,0.656582
13.9600,0.646064,0.017640,0.643265,0.656096
